Department,Body
Billing Operations,Could you send me a copy of the invoice for my current subscription?
Billing Operations,How can I update the credit card used for my monthly plan?
Billing Operations,When will my annual subscription renew and what is the next billing date?
Billing Disputes,I was charged twice for the same subscription this month.
Billing Disputes,Please refund the charge on my card because I did not expect it.
Billing Disputes,I do not recognize this payment and have started a chargeback with my bank.
Accounts Receivable,Our invoice is overdue because it was sent to the wrong contact; can you help?
Accounts Receivable,Can we arrange payment terms of net 60 days for this purchase order?
Accounts Receivable,Please send the details we need to settle our outstanding balance.
Promotions & Discounts,My promo code did not apply when I checked out yesterday.
Promotions & Discounts,I forgot to enter my coupon code-can the discount still be added?
Promotions & Discounts,Could you apply the loyalty credit that was promised to our account?
Technical Support,The application crashes every time I try to open a report.
Technical Support,I receive an error message whenever I export my data to CSV.
Technical Support,The dashboard has been extremely slow since this morning.
IT Service Desk,Our team cannot sign in because SSO is currently failing.
IT Service Desk,Is there an outage affecting the API integration with our system?
IT Service Desk,SAML authentication is down and none of our users can access the platform.
Account & Access Management,I need to reset my password because I cannot access my account.
Account & Access Management,Please deactivate a former employee and remove their user access.
Account & Access Management,Can you give our finance team member administrator permissions and add two seats?
Sales,Could you provide a quote for 50 additional licences?
Sales,We would like a product demo before deciding which tier to purchase.
Sales,Our contract is up for renewal and we are considering an upgrade.
Customer Success,Can someone help us onboard our new team members?
Customer Success,We would like training on the main features before our launch.
Customer Success,Our adoption has fallen and we would like to discuss how to get more value from the platform.
Legal & Compliance,We received a solicitor's letter regarding a dispute with your company.
Legal & Compliance,Please process our GDPR request to erase all personal data associated with our account.
Legal & Compliance,This is a formal regulatory complaint about how our data has been handled.
Trust & Safety,I received a suspicious email pretending to be from your support team.
Trust & Safety,Someone is using our company name to impersonate us and request payments.
Trust & Safety,A user has sent threatening and abusive messages to our staff.
